Date,Temperature (C)
1986-07-15,28.430897,0.87929827
1986-08-15,26.757736,0.95213133
1986-09-15,19.874317,1.2603297
1986-10-15,14.432039,1.1027187
1986-11-15,5.121532,1.4344406
1986-12-15,0.6254871,1.1287097
1987-01-16,-0.45968854,1.2630277
1987-02-16,1.961256,1.4991239
1987-03-15,8.245754,1.4411231
1987-04-15,13.996412,1.5092803
1987-05-15,16.139568,1.0280734
1987-06-15,24.332108,0.617104
1987-07-15,27.182621,0.5430588
1987-08-15,26.492558,1.3865857
1987-09-15,20.403605,0.9214767
1987-10-15,13.756015,1.1550354
1987-11-15,6.279294,1.2337797
1987-12-15,0.29530126,1.0344316
1988-01-16,-0.3832587,1.1125133
1988-02-16,-0.8106395,1.3011321
1988-03-15,-0.12045892,1.595844
1988-04-15,11.0517235,1.0737523
1988-05-15,16.893005,0.86283034
1988-06-15,24.479837,0.7086933
1988-07-15,27.696674,0.67604756
1988-08-15,26.456762,0.82730454
1988-09-15,21.6468,0.80516636
1988-10-15,15.106434,1.2343494
1988-11-15,6.960043,1.0784137
1988-12-15,0.0071279285,1.0142272
1989-01-16,-2.1559193,1.2245702
1989-02-16,2.6432898,1.2026105
1989-03-15,7.2643175,1.7887003
1989-04-15,10.312091,1.362864
1989-05-15,15.811533,0.9209058
1989-06-15,23.648354,0.8268544
1989-07-15,27.35502,0.9256991
1989-08-15,23.897621,0.90663165
1989-09-15,21.803326,0.9884167
1989-10-15,16.434635,0.99975735
1989-11-15,6.09769,1.5830977
1989-12-15,1.4485325,1.1363147
1990-01-16,-1.099441,1.2164297
1990-02-16,4.4314904,1.2393913
1990-03-15,8.979,1.2477525
1990-04-15,12.672459,0.9930188
1990-05-15,18.085495,0.8417691
1990-06-15,27.64955,0.865251
1990-07-15,25.782564,0.55013794
1990-08-15,24.921103,1.0361325
1990-09-15,23.276724,1.3060191
1990-10-15,13.018293,1.3282236
1990-11-15,4.733915,1.1407213
1990-12-15,0.4232524,1.4536881
